session_number,session_start_users,view_item_users,drop_off_rate
1,258280,56277,78.2
2,46334,20290,56.2
3,18432,10802,41.4
4,10302,6851,33.5
5,6464,4631,28.4
6,4371,3265,25.3
7,3082,2376,22.9
8,2222,1735,21.9
9,1624,1288,20.7
10,1220,977,19.9
11,886,714,19.4
12,607,486,19.9
13,414,333,19.6
14,358,284,20.7
15,287,223,22.3
16,213,171,19.7
17,177,136,23.2
18,155,118,23.9
19,143,107,25.2
20,117,92,21.4
21,99,75,24.2
22,86,61,29.1
23,86,61,29.1
24,70,49,30.0
25,51,36,29.4
26,47,33,29.8
27,49,36,26.5
28,45,32,28.9
29,42,30,28.6
30,37,27,27.0
31,39,29,25.6
32,30,22,26.7
33,32,27,15.6
34,33,28,15.2
35,23,20,13.0
36,25,18,28.0
37,23,20,13.0
38,19,16,15.8
39,20,16,20.0
40,14,10,28.6
41,10,6,40.0
42,10,6,40.0
43,9,4,55.6
44,8,3,62.5
45,7,3,57.1
46,6,4,33.3
47,7,4,42.9
48,6,4,33.3
49,6,4,33.3
50,3,3,0.0
51,4,3,25.0
52,4,3,25.0
53,5,4,20.0
54,4,3,25.0
55,2,2,0.0
56,2,2,0.0
57,2,2,0.0
58,2,2,0.0
59,2,2,0.0
60,1,1,0.0
62,1,1,0.0
63,2,2,0.0
64,2,2,0.0
65,2,2,0.0
66,3,3,0.0
67,2,2,0.0
68,2,2,0.0
69,2,2,0.0
70,2,2,0.0
71,1,1,0.0
72,2,2,0.0
73,2,2,0.0
74,2,2,0.0
75,1,1,0.0
76,1,1,0.0
77,1,1,0.0
79,1,1,0.0
80,1,1,0.0
81,1,1,0.0
83,2,1,50.0
84,1,1,0.0
85,1,1,0.0
94,1,1,0.0
95,1,1,0.0
96,1,1,0.0
99,1,1,0.0
116,1,1,0.0
117,1,1,0.0
118,1,1,0.0
119,1,1,0.0
120,1,1,0.0
121,1,1,0.0
122,1,1,0.0
123,1,1,0.0
141,1,1,0.0
142,1,1,0.0
143,1,1,0.0
152,1,1,0.0
153,1,1,0.0
154,1,1,0.0
