session_number,view_item_users,add_to_cart_users,drop_off_rate
1,56277,11409,79.7
2,20290,6052,70.2
3,10802,3930,63.6
4,6851,2754,59.8
5,4631,1943,58.0
6,3265,1444,55.8
7,2376,1066,55.1
8,1735,800,53.9
9,1288,579,55.0
10,977,433,55.7
11,714,310,56.6
12,486,224,53.9
13,333,161,51.7
14,284,133,53.2
15,223,109,51.1
16,171,88,48.5
17,136,65,52.2
18,118,59,50.0
19,107,52,51.4
20,92,47,48.9
21,75,41,45.3
22,61,37,39.3
23,61,32,47.5
24,49,22,55.1
25,36,15,58.3
26,33,15,54.5
27,36,15,58.3
28,32,13,59.4
29,30,12,60.0
30,27,13,51.9
31,29,16,44.8
32,22,14,36.4
33,27,15,44.4
34,28,15,46.4
35,20,13,35.0
36,18,11,38.9
37,20,13,35.0
38,16,11,31.3
39,16,10,37.5
40,10,5,50.0
41,6,2,66.7
42,6,2,66.7
43,4,1,75.0
44,3,1,66.7
45,3,1,66.7
46,4,2,50.0
47,4,2,50.0
48,4,1,75.0
49,4,1,75.0
50,3,0,100.0
51,3,0,100.0
52,3,0,100.0
53,4,2,50.0
54,3,2,33.3
55,2,2,0.0
56,2,1,50.0
57,2,1,50.0
58,2,1,50.0
59,2,1,50.0
60,1,0,100.0
62,1,0,100.0
63,2,0,100.0
64,2,0,100.0
65,2,0,100.0
66,3,0,100.0
67,2,0,100.0
68,2,0,100.0
69,2,0,100.0
70,2,0,100.0
71,1,0,100.0
72,2,0,100.0
73,2,0,100.0
74,2,0,100.0
75,1,0,100.0
76,1,0,100.0
77,1,0,100.0
79,1,0,100.0
80,1,0,100.0
81,1,0,100.0
83,1,0,100.0
84,1,0,100.0
85,1,0,100.0
94,1,0,100.0
95,1,0,100.0
96,1,0,100.0
99,1,0,100.0
116,1,0,100.0
117,1,0,100.0
118,1,0,100.0
119,1,0,100.0
120,1,0,100.0
121,1,0,100.0
122,1,0,100.0
123,1,0,100.0
141,1,1,0.0
142,1,1,0.0
143,1,1,0.0
152,1,0,100.0
153,1,0,100.0
154,1,0,100.0
