session_number,add_to_cart_users,begin_checkout_users,drop_off_rate
1,11409,8432,26.1
2,6052,4598,24.0
3,3930,3309,15.8
4,2754,2456,10.8
5,1943,1828,5.9
6,1444,1396,3.3
7,1066,1057,0.8
8,800,797,0.4
9,579,599,-3.5
10,433,453,-4.6
11,310,331,-6.8
12,224,236,-5.4
13,161,164,-1.9
14,133,139,-4.5
15,109,111,-1.8
16,88,80,9.1
17,65,63,3.1
18,59,53,10.2
19,52,48,7.7
20,47,45,4.3
21,41,36,12.2
22,37,34,8.1
23,32,35,-9.4
24,22,27,-22.7
25,15,19,-26.7
26,15,16,-6.7
27,15,16,-6.7
28,13,14,-7.7
29,12,10,16.7
30,13,11,15.4
31,16,12,25.0
32,14,9,35.7
33,15,9,40.0
34,15,11,26.7
35,13,8,38.5
36,11,7,36.4
37,13,7,46.2
38,11,7,36.4
39,10,6,40.0
40,5,3,40.0
41,2,1,50.0
42,2,1,50.0
43,1,1,0.0
44,1,1,0.0
45,1,1,0.0
46,2,1,50.0
47,2,1,50.0
48,1,1,0.0
49,1,1,0.0
50,0,1,
51,0,1,
52,0,1,
53,2,1,50.0
54,2,0,100.0
55,2,0,100.0
56,1,0,100.0
57,1,0,100.0
58,1,0,100.0
59,1,0,100.0
60,0,0,
62,0,1,
63,0,1,
64,0,1,
65,0,1,
66,0,1,
67,0,1,
68,0,0,
69,0,0,
70,0,0,
71,0,0,
72,0,1,
73,0,1,
74,0,1,
75,0,1,
76,0,1,
77,0,1,
79,0,0,
80,0,0,
81,0,0,
83,0,0,
84,0,0,
85,0,0,
94,0,0,
95,0,0,
96,0,0,
99,0,0,
116,0,0,
117,0,0,
118,0,0,
119,0,0,
120,0,0,
121,0,0,
122,0,0,
123,0,0,
141,1,0,100.0
142,1,0,100.0
143,1,0,100.0
152,0,1,
153,0,1,
154,0,1,
