session_number,begin_checkout_users,purchase_users,drop_off_rate
1,8432,3562,57.8
2,4598,2866,37.7
3,3309,2154,34.9
4,2456,1644,33.1
5,1828,1248,31.7
6,1396,974,30.2
7,1057,737,30.3
8,797,555,30.4
9,599,418,30.2
10,453,325,28.3
11,331,241,27.2
12,236,175,25.8
13,164,122,25.6
14,139,107,23.0
15,111,86,22.5
16,80,60,25.0
17,63,51,19.0
18,53,43,18.9
19,48,38,20.8
20,45,35,22.2
21,36,28,22.2
22,34,25,26.5
23,35,25,28.6
24,27,20,25.9
25,19,16,15.8
26,16,13,18.8
27,16,12,25.0
28,14,11,21.4
29,10,9,10.0
30,11,7,36.4
31,12,8,33.3
32,9,7,22.2
33,9,7,22.2
34,11,9,18.2
35,8,6,25.0
36,7,5,28.6
37,7,6,14.3
38,7,6,14.3
39,6,5,16.7
40,3,2,33.3
41,1,1,0.0
42,1,1,0.0
43,1,1,0.0
44,1,1,0.0
45,1,1,0.0
46,1,1,0.0
47,1,1,0.0
48,1,1,0.0
49,1,1,0.0
50,1,1,0.0
51,1,1,0.0
52,1,1,0.0
53,1,1,0.0
54,0,0,
55,0,0,
56,0,0,
57,0,0,
58,0,0,
59,0,0,
60,0,0,
62,1,0,100.0
63,1,0,100.0
64,1,0,100.0
65,1,0,100.0
66,1,0,100.0
67,1,0,100.0
68,0,0,
69,0,0,
70,0,0,
71,0,0,
72,1,1,0.0
73,1,1,0.0
74,1,1,0.0
75,1,1,0.0
76,1,1,0.0
77,1,1,0.0
79,0,0,
80,0,0,
81,0,0,
83,0,0,
84,0,0,
85,0,0,
94,0,0,
95,0,0,
96,0,0,
99,0,0,
116,0,0,
117,0,0,
118,0,0,
119,0,0,
120,0,0,
121,0,0,
122,0,0,
123,0,0,
141,0,0,
142,0,0,
143,0,0,
152,1,1,0.0
153,1,1,0.0
154,1,1,0.0
